date id ninfected nrecovered ndeceased
27 22 15 46 0
27 20 546 1468 33
27 19 85 274 5
27 18 20 42 0
27 17 5 29 0
27 16 29 110 1
27 13 127 585 6
27 1 50 942 6
27 4 213 3840 41
27 27 0 1 0
27 3 138 3134 38
27 23 12 32 0
27 5 62 1402 13
27 28 3 0 0
27 21 72 230 5
27 9 72 634 4
27 7 250 2217 34
27 15 0 15 0
27 14 218 1009 8
27 6 30 63 1
27 8 44 650 4
27 0 282 30756 285
27 10 30 197 4
27 25 0 2 0
27 2 152 3800 38
27 12 22 221 5
27 11 129 1088 21
28 26 76 100 1
28 24 29 30 0
28 22 22 55 2
28 20 604 1811 44
28 19 58 332 6
28 18 27 53 0
28 17 3 33 0
28 16 34 123 1
28 13 125 679 6
28 1 77 973 6
28 4 187 3991 43
28 27 0 1 0
28 3 136 3227 38
28 23 10 40 0
28 5 56 1440 13
28 28 6 2 0
28 21 85 272 6
28 9 70 685 5
28 7 228 2386 36
28 15 0 15 0
28 14 229 1147 10
28 6 30 79 2
28 8 39 677 5
28 0 266 30948 285
28 10 20 217 4
28 25 0 2 0
28 2 113 3910 39
28 12 24 236 6
28 11 119 1162 21
29 29 1 0 0
29 12 29 248 6
29 11 109 1230 22
29 10 19 230 4
29 0 253 31119 287
29 25 0 2 0
29 6 30 100 2
29 8 42 705 6
29 14 242 1288 11
29 9 52 735 6
29 2 111 3984 40
29 21 61 326 7
29 28 6 6 0
29 5 60 1474 14
29 23 15 47 0
29 27 0 1 0
29 7 248 2542 37
29 4 153 4122 44
29 1 70 1022 10
29 13 113 777 6
29 16 28 146 1
29 17 4 35 1
29 18 24 68 0
29 3 108 3318 39
29 19 59 368 6
29 20 656 2200 49
29 15 0 15 0
29 22 34 66 2
29 24 24 48 0
29 26 99 152 1
30 29 1 1 0
30 12 21 271 7
30 11 94 1299 23
30 10 20 245 5
30 0 200 31296 288
30 25 0 2 0
30 6 26 119 3
30 8 49 731 6
30 14 222 1439 13
30 30 1 0 0
30 9 63 766 6
30 2 93 4059 40
30 21 76 364 7
30 28 7 9 0
30 5 64 1503 17
30 23 19 56 0
30 27 0 1 0
30 7 267 2704 40
30 4 123 4237 44
30 1 90 1065 11
30 13 119 846 8
30 16 28 165 2
30 17 1 38 1
30 18 25 80 0
30 3 118 3393 40
30 19 42 412 6
30 20 682 2629 53
30 15 0 15 0
30 22 27 89 3
30 24 28 59 0
30 26 135 209 1
31 29 0 2 0
31 12 18 288 7
31 11 85 1358 24
31 10 16 259 5
31 0 203 31423 289
31 25 1 2 0
31 6 39 134 3
31 8 43 763 6
31 14 211 1590 15
31 30 1 1 0
31 9 67 809 6
31 2 77 4129 40
31 21 54 414 8
31 28 14 11 0
31 5 53 1548 17
31 23 20 67 0
31 27 0 1 0
31 7 249 2878 40
31 4 109 4330 45
31 1 105 1123 12
31 13 100 923 9
31 16 21 186 2
31 17 0 39 1
31 18 15 95 0
31 3 106 3471 40
31 19 32 443 6
31 20 753 3077 61
31 15 0 15 0
