date nvariants nhealthy ninfected nrecovered ndeceased
583 194 307 282 177597 411
584 194 303 286 177802 411
585 195 309 279 178015 412
586 195 323 265 178235 412
587 195 320 267 178445 413
588 195 319 267 178645 414
589 195 301 285 178843 414
590 196 303 283 179051 414
591 197 306 279 179261 415
592 197 309 274 179474 417
593 197 295 288 179675 417
594 197 305 278 179891 417
595 197 305 278 180103 417
596 197 319 264 180317 417
597 197 302 281 180508 417
598 197 316 267 180716 417
599 197 282 299 180897 419
600 197 334 247 181136 419
601 197 296 285 181313 419
602 197 332 248 181537 420
603 197 328 252 181729 420
604 197 318 262 181922 420
605 197 292 286 182111 422
606 198 311 267 182328 422
607 198 275 302 182517 423
608 198 323 253 182751 424
609 198 311 265 182943 424
610 198 310 264 183151 426
611 198 303 270 183346 427
612 199 312 261 183548 427
613 199 322 251 183746 427
614 199 315 258 183937 427
615 200 305 268 184123 427
616 200 296 276 184317 428
617 200 305 267 184523 428
618 200 287 285 184716 428
619 202 293 279 184916 428
620 202 320 251 185132 429
621 202 299 272 185314 429
622 202 310 261 185522 429
623 202 282 289 185706 429
624 202 312 259 185923 429
625 202 306 265 186112 429
626 202 318 253 186318 429
627 202 328 243 186527 429
628 202 329 242 186721 429
629 203 311 259 186900 430
630 203 314 256 187091 430
631 203 310 259 187279 431
632 205 322 246 187480 432
633 205 344 223 187682 433
634 205 316 251 187856 433
635 205 332 235 188057 433
636 205 312 255 188242 433
637 205 326 241 188440 433
638 205 317 250 188623 433
639 205 331 236 188822 433
640 205 314 252 189004 434
641 205 320 246 189193 434
642 205 350 216 189389 434
643 206 321 245 189556 434
644 207 298 267 189739 435
645 207 295 270 189939 435
646 207 313 252 190145 435
647 207 291 274 190329 435
648 208 293 272 190529 435
649 208 314 251 190733 435
650 208 307 257 190917 436
651 208 336 228 191124 436
652 208 309 254 191298 437
653 208 303 260 191489 437
654 208 317 246 191689 437
655 208 300 263 191875 437
656 209 310 252 192078 438
657 209 303 259 192262 438
658 209 337 225 192475 438
659 209 312 250 192643 438
660 209 319 243 192841 438
661 209 309 253 193023 438
662 209 307 254 193219 439
663 209 296 264 193409 440
664 209 303 257 193608 440
665 209 295 264 193799 441
666 209 302 255 194000 443
667 209 302 255 194198 443
668 209 272 285 194379 443
669 209 297 260 194590 443
670 209 302 254 194790 444
671 209 313 242 194991 445
672 209 300 255 195172 445
673 209 296 259 195361 445
674 210 322 232 195566 446
675 210 302 252 195741 446
676 210 309 243 195933 448
677 210 331 220 196134 449
678 210 327 224 196310 449
679 210 308 243 196481 449
680 210 318 233 196669 449
681 210 282 268 196839 450
682 210 307 243 197034 450
683 210 303 247 197220 450
684 211 301 249 197403 450
685 211 297 252 197594 451
686 211 316 233 197791 451
687 211 306 243 197968 451
688 211 272 276 198141 452
689 211 301 246 198354 453
690 212 274 272 198522 454
691 212 309 237 198727 454
692 212 290 256 198898 454
693 212 294 252 199090 454
694 212 288 258 199279 454
695 212 288 258 199467 454
696 212 288 256 199656 456
697 212 297 247 199850 456
698 212 310 234 200044 456
699 212 320 224 200222 456
700 212 320 224 200400 456
701 212 326 218 200582 456
702 212 320 224 200751 456
703 212 308 236 200919 456
704 212 283 260 201084 457
705 212 321 221 201291 458
706 212 313 229 201458 458
707 213 299 241 201630 460
708 213 271 269 201795 460
709 213 306 233 202006 461
710 213 279 260 202181 461
711 213 272 264 202363 464
712 213 279 257 202554 464
713 214 302 233 202749 465
714 214 292 243 202924 465
715 214 281 254 203100 465
716 214 288 247 203289 465
717 214 308 227 203485 465
718 215 322 211 203664 467
719 215 289 244 203820 467
720 215 295 238 204002 467
721 215 268 265 204175 467
722 215 309 223 204381 468
723 215 288 243 204553 469
724 216 290 240 204738 470
725 216 302 228 204919 470
726 216 313 217 205099 470
727 217 307 222 205268 471
728 217 289 240 205439 471
729 219 265 263 205605 472
730 219 294 233 205804 473
731 219 303 224 205988 473
732 219 278 249 206149 473
733 219 276 251 206333 473
734 219 263 264 206515 473
735 220 291 236 206711 473
736 220 291 236 206891 473
737 220 297 230 207071 473
738 220 257 270 207228 473
739 220 279 247 207425 474
740 220 280 246 207604 474
741 221 300 225 207793 475
742 222 282 243 207965 475
743 222 277 248 208144 475
744 223 281 244 208324 475
745 223 294 231 208511 475
746 223 288 236 208684 476
747 223 282 242 208854 476
748 224 308 216 209046 476
749 224 308 216 209217 476
750 224 283 241 209381 476
751 224 298 226 209566 476
752 224 288 236 209735 476
753 224 288 236 209912 476
754 225 286 238 210091 476
755 225 301 223 210272 476
756 225 292 231 210433 477
757 225 285 238 210599 477
758 225 299 224 210787 477
759 225 288 235 210950 477
760 225 280 242 211120 478
761 225 308 214 211313 478
762 225 278 244 211476 478
763 225 289 232 211657 479
764 226 267 252 211822 481
765 226 291 227 212009 482
766 226 285 233 212178 482
767 226 272 246 212345 482
768 226 306 211 212540 483
769 226 275 242 212689 483
770 226 292 225 212882 483
771 226 293 224 213051 483
772 226 283 233 213213 484
773 226 287 228 213392 485
774 226 302 213 213566 485
775 226 288 227 213724 485
776 226 302 213 213904 485
777 226 286 229 214061 485
778 227 305 210 214240 485
779 227 292 222 214399 486
780 227 296 218 214568 486
781 227 248 265 214714 487
782 227 310 203 214918 487
783 227 270 241 215065 489
784 227 295 215 215243 490
785 227 285 225 215400 490
786 227 302 207 215566 491
787 227 290 218 215724 492
788 227 297 211 215893 492
789 227 287 221 216054 492
790 227 288 220 216220 492
791 227 286 222 216387 492
792 227 275 232 216547 493
793 228 288 218 216725 494
794 228 281 224 216883 495
795 228 262 243 217047 495
796 228 268 236 217218 496
797 228 284 220 217397 496
798 229 297 207 217575 496
799 229 301 202 217735 497
800 229 289 213 217887 498
801 229 286 215 218043 499
802 229 299 202 218209 499
803 229 284 216 218361 500
804 229 300 200 218527 500
805 229 261 239 218664 500
806 230 290 210 218851 500
807 230 292 207 219010 501
808 230 279 220 219169 501
809 232 264 235 219332 501
810 233 275 224 219504 501
811 233 282 217 219675 501
812 233 287 212 219848 501
813 233 273 226 220008 501
814 233 300 197 220186 503
815 233 281 216 220343 503
816 233 290 207 220512 503
817 233 298 199 220678 503
818 233 282 215 220831 503
819 233 281 215 220995 504
820 234 271 225 221149 504
821 234 281 215 221321 504
822 234 279 216 221483 505
823 234 281 214 221649 505
824 235 279 216 221803 505
825 235 266 229 221960 505
826 235 289 205 222135 506
827 236 276 218 222287 506
828 238 295 199 222454 506
829 238 286 207 222601 507
830 238 294 198 222754 508
831 238 286 206 222911 508
832 238 266 225 223061 509
833 238 264 226 223220 510
834 238 263 227 223383 510
835 238 263 226 223550 511
836 238 276 213 223713 511
837 238 271 217 223870 512
838 238 268 220 224030 512
839 238 287 201 224197 512
840 238 296 192 224349 512
841 238 321 167 224511 512
842 238 287 200 224637 513
843 239 295 192 224796 513
844 239 286 199 224940 515
845 239 263 221 225088 516
846 239 259 224 225249 517
847 239 265 217 225414 518
848 239 271 210 225573 519
849 239 260 221 225722 519
850 239 294 186 225895 520
851 239 271 209 226032 520
852 239 270 210 226183 520
853 240 262 217 226334 521
854 240 277 202 226498 521
855 240 283 195 226652 522
856 240 288 190 226807 522
857 241 301 177 226956 522
858 241 308 170 227097 522
859 241 278 200 227219 522
860 241 276 201 227372 523
861 241 283 194 227531 523
862 241 269 208 227672 523
