virus_id virus source source_exposure_date rt
0 "covid 19" 8070 28 0
0 "covid 19" 8069 28 0
0 "covid 19" 8067 28 0
0 "covid 19" 5387 28 0
0 "covid 19" 5386 28 0
0 "covid 19" 5384 28 0
0 "covid 19" 5383 28 0
0 "covid 19" 5382 28 0
0 "covid 19" 5376 28 0
0 "covid 19" 5375 28 0
0 "covid 19" 5373 28 0
0 "covid 19" 5372 28 0
0 "covid 19" 5371 28 0
0 "covid 19" 2046 28 1
0 "covid 19" 2044 28 1
0 "covid 19" 2042 28 1
0 "covid 19" 5390 28 1
0 "covid 19" 2041 28 1
0 "covid 19" 2038 28 1
0 "covid 19" 8345 53 1
0 "covid 19" 2012 28 0
0 "covid 19" 2010 28 0
0 "covid 19" 2007 28 0
0 "covid 19" 2004 28 0
0 "covid 19" 9591 27 1
0 "covid 19" 9589 27 1
0 "covid 19" 9585 27 1
0 "covid 19" 9583 27 1
0 "covid 19" 9582 27 1
0 "covid 19" 9396 27 10
0 "covid 19" 8265 47 0
0 "covid 19" 9395 27 0
0 "covid 19" 9392 27 0
0 "covid 19" 9391 27 0
0 "covid 19" 9389 27 0
0 "covid 19" 9387 27 0
0 "covid 19" 8601 27 1
0 "covid 19" 8600 27 1
0 "covid 19" 8599 27 1
0 "covid 19" 8317 53 0
0 "covid 19" 8598 27 1
0 "covid 19" 8597 27 1
0 "covid 19" 8066 27 10
0 "covid 19" 8065 27 0
0 "covid 19" 8063 27 0
0 "covid 19" 8062 27 0
0 "covid 19" 8058 27 0
0 "covid 19" 5391 27 1
0 "covid 19" 5363 27 0
0 "covid 19" 5362 27 0
0 "covid 19" 5361 27 0
0 "covid 19" 2708 27 0
0 "covid 19" 8275 48 0
0 "covid 19" 2051 27 1
0 "covid 19" 2050 27 1
0 "covid 19" 2049 27 1
0 "covid 19" 2048 27 1
0 "covid 19" 2001 27 0
0 "covid 19" 1999 27 0
0 "covid 19" 1998 27 0
0 "covid 19" 1997 27 0
0 "covid 19" 9599 26 1
0 "covid 19" 9596 26 1
0 "covid 19" 9595 26 1
0 "covid 19" 9594 26 1
0 "covid 19" 9593 26 1
0 "covid 19" 9385 26 0
0 "covid 19" 9384 26 0
0 "covid 19" 9383 26 0
0 "covid 19" 9380 26 0
0 "covid 19" 9379 26 0
0 "covid 19" 8611 26 1
0 "covid 19" 8609 26 1
0 "covid 19" 8150 36 0
0 "covid 19" 8056 26 10
0 "covid 19" 8054 26 0
0 "covid 19" 8048 26 0
0 "covid 19" 8047 26 0
0 "covid 19" 5410 26 1
0 "covid 19" 5409 26 1
0 "covid 19" 5408 26 1
0 "covid 19" 5407 26 1
0 "covid 19" 5406 26 1
0 "covid 19" 5405 26 1
0 "covid 19" 5402 26 1
0 "covid 19" 5401 26 1
0 "covid 19" 5356 26 0
0 "covid 19" 8148 36 0
0 "covid 19" 5351 26 0
0 "covid 19" 5350 26 0
0 "covid 19" 5349 26 0
0 "covid 19" 2720 26 1
0 "covid 19" 2719 26 1
0 "covid 19" 2717 26 1
0 "covid 19" 2716 26 1
0 "covid 19" 2704 26 0
0 "covid 19" 2703 26 0
0 "covid 19" 2702 26 0
0 "covid 19" 2701 26 0
0 "covid 19" 2699 26 0
0 "covid 19" 2697 26 0
0 "covid 19" 2695 26 0
0 "covid 19" 2065 26 1
0 "covid 19" 2062 26 1
0 "covid 19" 2061 26 1
0 "covid 19" 2059 26 1
0 "covid 19" 2058 26 1
0 "covid 19" 1991 26 0
0 "covid 19" 1988 26 0
0 "covid 19" 1986 26 0
0 "covid 19" 1985 26 0
0 "covid 19" 1984 26 0
0 "covid 19" 9611 25 1
0 "covid 19" 9605 25 1
0 "covid 19" 9603 25 1
0 "covid 19" 9375 25 0
0 "covid 19" 9374 25 0
0 "covid 19" 9371 25 0
0 "covid 19" 8625 25 1
0 "covid 19" 8617 25 1
0 "covid 19" 8044 25 0
0 "covid 19" 8043 25 0
0 "covid 19" 8041 25 0
0 "covid 19" 8040 25 0
0 "covid 19" 8039 25 0
0 "covid 19" 5418 25 1
0 "covid 19" 5417 25 1
0 "covid 19" 5413 25 1
0 "covid 19" 5345 25 0
0 "covid 19" 5343 25 0
0 "covid 19" 5342 25 0
0 "covid 19" 5339 25 0
0 "covid 19" 2730 25 1
0 "covid 19" 2727 25 1
0 "covid 19" 2726 25 1
0 "covid 19" 2725 25 1
0 "covid 19" 2724 25 1
0 "covid 19" 2723 25 1
0 "covid 19" 8607 26 1
0 "covid 19" 2722 25 1
0 "covid 19" 2721 25 1
0 "covid 19" 2694 25 10
0 "covid 19" 2689 25 0
0 "covid 19" 2687 25 0
0 "covid 19" 2685 25 0
0 "covid 19" 2075 25 1
0 "covid 19" 2070 25 1
0 "covid 19" 2069 25 1
0 "covid 19" 1982 25 0
0 "covid 19" 1976 25 0
0 "covid 19" 1975 25 0
0 "covid 19" 525 25 0
0 "covid 19" 524 25 0
0 "covid 19" 522 25 0
0 "covid 19" 521 25 0
0 "covid 19" 519 25 0
0 "covid 19" 9621 24 1
0 "covid 19" 9619 24 1
0 "covid 19" 9613 24 1
0 "covid 19" 9612 24 1
0 "covid 19" 9366 24 10
0 "covid 19" 9359 24 0
0 "covid 19" 8631 24 1
0 "covid 19" 8630 24 1
0 "covid 19" 8035 24 0
0 "covid 19" 8034 24 0
0 "covid 19" 8033 24 0
0 "covid 19" 8032 24 0
0 "covid 19" 8031 24 0
0 "covid 19" 5430 24 1
0 "covid 19" 5426 24 1
0 "covid 19" 5423 24 1
0 "covid 19" 5422 24 1
0 "covid 19" 5421 24 1
0 "covid 19" 5338 24 10
0 "covid 19" 5337 24 0
0 "covid 19" 5334 24 0
0 "covid 19" 5330 24 0
0 "covid 19" 8133 34 0
0 "covid 19" 5329 24 0
0 "covid 19" 2739 24 1
0 "covid 19" 2737 24 1
0 "covid 19" 2736 24 1
0 "covid 19" 2734 24 1
0 "covid 19" 2731 24 1
0 "covid 19" 2680 24 0
0 "covid 19" 2679 24 0
0 "covid 19" 2678 24 0
0 "covid 19" 2677 24 0
0 "covid 19" 2676 24 0
0 "covid 19" 2675 24 0
0 "covid 19" 8568 30 1
0 "covid 19" 5348 25 10
0 "covid 19" 2085 24 1
0 "covid 19" 2083 24 1
0 "covid 19" 2080 24 1
0 "covid 19" 2079 24 1
0 "covid 19" 2077 24 1
0 "covid 19" 1972 24 0
0 "covid 19" 1968 24 0
0 "covid 19" 1966 24 0
0 "covid 19" 9534 32 1
0 "covid 19" 1965 24 0
0 "covid 19" 9529 33 1
0 "covid 19" 1964 24 0
0 "covid 19" 537 24 1
0 "covid 19" 536 24 1
0 "covid 19" 535 24 1
0 "covid 19" 534 24 1
0 "covid 19" 533 24 1
0 "covid 19" 8224 43 0
0 "covid 19" 532 24 1
0 "covid 19" 531 24 1
0 "covid 19" 530 24 1
0 "covid 19" 518 24 0
0 "covid 19" 516 24 0
0 "covid 19" 514 24 0
0 "covid 19" 513 24 0
0 "covid 19" 512 24 0
0 "covid 19" 511 24 0
0 "covid 19" 510 24 0
0 "covid 19" 509 24 0
0 "covid 19" 9631 23 1
0 "covid 19" 8389 48 1
0 "covid 19" 9628 23 1
0 "covid 19" 9626 23 1
0 "covid 19" 9625 23 1
0 "covid 19" 9623 23 1
0 "covid 19" 9355 23 0
0 "covid 19" 9354 23 0
0 "covid 19" 9349 23 0
0 "covid 19" 9348 23 0
0 "covid 19" 9347 23 0
0 "covid 19" 8645 23 1
0 "covid 19" 8644 23 1
0 "covid 19" 8643 23 1
0 "covid 19" 8641 23 1
0 "covid 19" 8260 47 0
0 "covid 19" 8639 23 1
0 "covid 19" 8024 23 0
0 "covid 19" 8023 23 0
0 "covid 19" 8021 23 0
0 "covid 19" 8017 23 0
0 "covid 19" 5440 23 1
0 "covid 19" 5431 23 1
0 "covid 19" 5328 23 10
0 "covid 19" 5327 23 0
0 "covid 19" 5326 23 0
0 "covid 19" 5324 23 0
0 "covid 19" 5321 23 0
0 "covid 19" 5319 23 0
0 "covid 19" 2749 23 1
0 "covid 19" 2743 23 1
0 "covid 19" 2741 23 1
0 "covid 19" 2674 23 10
0 "covid 19" 2672 23 0
0 "covid 19" 2671 23 0
0 "covid 19" 2669 23 0
0 "covid 19" 2668 23 0
0 "covid 19" 2667 23 0
0 "covid 19" 2665 23 0
0 "covid 19" 2088 23 1
0 "covid 19" 2087 23 1
0 "covid 19" 8391 48 1
0 "covid 19" 1963 23 10
0 "covid 19" 5438 23 1
0 "covid 19" 1962 23 0
0 "covid 19" 1961 23 0
0 "covid 19" 1956 23 0
0 "covid 19" 9459 34 0
0 "covid 19" 547 23 1
0 "covid 19" 8490 38 1
0 "covid 19" 9458 34 0
0 "covid 19" 544 23 1
0 "covid 19" 542 23 1
0 "covid 19" 541 23 1
0 "covid 19" 540 23 1
0 "covid 19" 539 23 1
0 "covid 19" 9452 33 0
0 "covid 19" 538 23 1
0 "covid 19" 507 23 0
0 "covid 19" 503 23 0
0 "covid 19" 502 23 0
0 "covid 19" 501 23 0
0 "covid 19" 500 23 0
0 "covid 19" 499 23 0
0 "covid 19" 9360 24 0
0 "covid 19" 9641 22 1
0 "covid 19" 9345 22 0
0 "covid 19" 9343 22 0
0 "covid 19" 9341 22 0
0 "covid 19" 9338 22 0
0 "covid 19" 8653 22 1
0 "covid 19" 8652 22 1
0 "covid 19" 8650 22 1
0 "covid 19" 8649 22 1
0 "covid 19" 8648 22 1
0 "covid 19" 8454 42 1
0 "covid 19" 8647 22 1
0 "covid 19" 8016 22 10
0 "covid 19" 8014 22 0
0 "covid 19" 5443 22 1
0 "covid 19" 8400 47 1
0 "covid 19" 5442 22 1
0 "covid 19" 2053 27 1
0 "covid 19" 5318 22 10
0 "covid 19" 5317 22 0
0 "covid 19" 5316 22 0
0 "covid 19" 5315 22 0
0 "covid 19" 5314 22 0
0 "covid 19" 5313 22 0
0 "covid 19" 5312 22 0
0 "covid 19" 2060 26 1
0 "covid 19" 5311 22 0
0 "covid 19" 8086 29 10
0 "covid 19" 5310 22 0
0 "covid 19" 5309 22 0
0 "covid 19" 2759 22 1
0 "covid 19" 2758 22 1
0 "covid 19" 2752 22 1
0 "covid 19" 2662 22 0
0 "covid 19" 2661 22 0
0 "covid 19" 2660 22 0
0 "covid 19" 2659 22 0
0 "covid 19" 2657 22 0
0 "covid 19" 2656 22 0
0 "covid 19" 2104 22 1
0 "covid 19" 2103 22 1
0 "covid 19" 2098 22 1
0 "covid 19" 1953 22 10
0 "covid 19" 9630 23 1
0 "covid 19" 1952 22 0
0 "covid 19" 1950 22 0
0 "covid 19" 1949 22 0
0 "covid 19" 1948 22 0
0 "covid 19" 8538 33 1
0 "covid 19" 1947 22 0
0 "covid 19" 557 22 1
0 "covid 19" 556 22 1
0 "covid 19" 555 22 1
0 "covid 19" 552 22 1
0 "covid 19" 551 22 1
0 "covid 19" 550 22 1
0 "covid 19" 8620 25 1
0 "covid 19" 549 22 1
0 "covid 19" 498 22 10
0 "covid 19" 497 22 0
0 "covid 19" 494 22 0
0 "covid 19" 493 22 0
0 "covid 19" 492 22 0
0 "covid 19" 491 22 0
0 "covid 19" 490 22 0
0 "covid 19" 489 22 0
0 "covid 19" 66 22 0
0 "covid 19" 9651 21 1
0 "covid 19" 9649 21 1
0 "covid 19" 9648 21 1
0 "covid 19" 9358 24 0
0 "covid 19" 9647 21 1
0 "covid 19" 9646 21 1
0 "covid 19" 9642 21 1
0 "covid 19" 9330 21 0
0 "covid 19" 9328 21 0
0 "covid 19" 9327 21 0
0 "covid 19" 8660 21 1
0 "covid 19" 9411 29 0
0 "covid 19" 8006 21 10
0 "covid 19" 7997 21 0
0 "covid 19" 5459 21 1
0 "covid 19" 5458 21 1
0 "covid 19" 5457 21 1
0 "covid 19" 5452 21 1
0 "covid 19" 5306 21 0
0 "covid 19" 5304 21 0
0 "covid 19" 5301 21 0
0 "covid 19" 5299 21 0
0 "covid 19" 2769 21 1
