date id state n
55 1 Susceptible 0
55 1 Exposed 0
55 1 Recovered 9293
55 1 Removed 595
55 0 Susceptible 0
55 0 Exposed 50
55 0 Recovered 4656
55 0 Removed 294
56 1 Susceptible 0
56 1 Exposed 0
56 1 Recovered 9310
56 1 Removed 596
56 0 Susceptible 0
56 0 Exposed 44
56 0 Recovered 4661
56 0 Removed 295
57 1 Susceptible 0
57 1 Exposed 0
57 1 Recovered 9324
57 1 Removed 597
57 0 Susceptible 0
57 0 Exposed 36
57 0 Recovered 4668
57 0 Removed 296
58 1 Susceptible 0
58 1 Exposed 0
58 1 Recovered 9329
58 1 Removed 597
58 0 Susceptible 0
58 0 Exposed 32
58 0 Recovered 4672
58 0 Removed 296
59 1 Susceptible 0
59 1 Exposed 0
59 1 Recovered 9337
59 1 Removed 597
59 0 Susceptible 0
59 0 Exposed 27
59 0 Recovered 4677
59 0 Removed 296
60 1 Susceptible 0
60 1 Exposed 0
60 1 Recovered 9348
60 1 Removed 598
60 0 Susceptible 0
60 0 Exposed 24
60 0 Recovered 4679
60 0 Removed 297
61 1 Susceptible 0
61 1 Exposed 0
61 1 Recovered 9354
61 1 Removed 598
61 0 Susceptible 0
61 0 Exposed 20
61 0 Recovered 4683
61 0 Removed 297
62 1 Susceptible 0
62 1 Exposed 0
62 1 Recovered 9363
62 1 Removed 599
62 0 Susceptible 0
62 0 Exposed 16
62 0 Recovered 4686
62 0 Removed 298
63 1 Susceptible 0
63 1 Exposed 0
63 1 Recovered 9367
63 1 Removed 599
63 0 Susceptible 0
63 0 Exposed 13
63 0 Recovered 4689
63 0 Removed 298
64 1 Susceptible 0
64 1 Exposed 0
64 1 Recovered 9374
64 1 Removed 599
64 0 Susceptible 0
64 0 Exposed 10
64 0 Recovered 4692
64 0 Removed 298
65 1 Susceptible 0
65 1 Exposed 0
65 1 Recovered 9375
65 1 Removed 599
65 0 Susceptible 0
65 0 Exposed 10
65 0 Recovered 4692
65 0 Removed 298
66 1 Susceptible 0
66 1 Exposed 0
66 1 Recovered 9376
66 1 Removed 599
66 0 Susceptible 0
66 0 Exposed 9
66 0 Recovered 4693
66 0 Removed 298
67 1 Susceptible 0
67 1 Exposed 0
67 1 Recovered 9381
67 1 Removed 599
67 0 Susceptible 0
67 0 Exposed 6
67 0 Recovered 4696
67 0 Removed 298
68 1 Susceptible 0
68 1 Exposed 0
68 1 Recovered 9383
68 1 Removed 599
68 0 Susceptible 0
68 0 Exposed 6
68 0 Recovered 4696
68 0 Removed 298
69 1 Susceptible 0
69 1 Exposed 0
69 1 Recovered 9388
69 1 Removed 599
69 0 Susceptible 0
69 0 Exposed 6
69 0 Recovered 4696
69 0 Removed 298
70 1 Susceptible 0
70 1 Exposed 0
70 1 Recovered 9391
70 1 Removed 599
70 0 Susceptible 0
70 0 Exposed 4
70 0 Recovered 4698
70 0 Removed 298
71 1 Susceptible 0
71 1 Exposed 0
71 1 Recovered 9392
71 1 Removed 599
71 0 Susceptible 0
71 0 Exposed 4
71 0 Recovered 4698
71 0 Removed 298
72 1 Susceptible 0
72 1 Exposed 0
72 1 Recovered 9394
72 1 Removed 600
72 0 Susceptible 0
72 0 Exposed 3
72 0 Recovered 4699
72 0 Removed 298
73 1 Susceptible 0
73 1 Exposed 0
73 1 Recovered 9395
73 1 Removed 600
73 0 Susceptible 0
73 0 Exposed 3
73 0 Recovered 4699
73 0 Removed 298
74 1 Susceptible 0
74 1 Exposed 0
74 1 Recovered 9395
74 1 Removed 600
74 0 Susceptible 0
74 0 Exposed 3
74 0 Recovered 4699
74 0 Removed 298
75 1 Susceptible 0
75 1 Exposed 0
75 1 Recovered 9396
75 1 Removed 601
75 0 Susceptible 0
75 0 Exposed 3
75 0 Recovered 4699
75 0 Removed 298
76 1 Susceptible 0
76 1 Exposed 0
76 1 Recovered 9396
76 1 Removed 601
76 0 Susceptible 0
76 0 Exposed 3
76 0 Recovered 4699
76 0 Removed 298
77 1 Susceptible 0
77 1 Exposed 0
77 1 Recovered 9398
77 1 Removed 601
77 0 Susceptible 0
77 0 Exposed 1
77 0 Recovered 4701
77 0 Removed 298
78 1 Susceptible 0
78 1 Exposed 0
78 1 Recovered 9398
78 1 Removed 601
78 0 Susceptible 0
78 0 Exposed 1
78 0 Recovered 4701
78 0 Removed 298
79 1 Susceptible 0
79 1 Exposed 0
79 1 Recovered 9398
79 1 Removed 601
79 0 Susceptible 0
79 0 Exposed 1
79 0 Recovered 4701
79 0 Removed 298
80 1 Susceptible 0
80 1 Exposed 0
80 1 Recovered 9399
80 1 Removed 601
80 0 Susceptible 0
80 0 Exposed 0
80 0 Recovered 4702
80 0 Removed 298
81 1 Susceptible 0
81 1 Exposed 0
81 1 Recovered 9399
81 1 Removed 601
81 0 Susceptible 0
81 0 Exposed 0
81 0 Recovered 4702
81 0 Removed 298
82 1 Susceptible 0
82 1 Exposed 0
82 1 Recovered 9399
82 1 Removed 601
82 0 Susceptible 0
82 0 Exposed 0
82 0 Recovered 4702
82 0 Removed 298
83 1 Susceptible 0
83 1 Exposed 0
83 1 Recovered 9399
83 1 Removed 601
83 0 Susceptible 0
83 0 Exposed 0
83 0 Recovered 4702
83 0 Removed 298
84 1 Susceptible 0
84 1 Exposed 0
84 1 Recovered 9399
84 1 Removed 601
84 0 Susceptible 0
84 0 Exposed 0
84 0 Recovered 4702
84 0 Removed 298
85 1 Susceptible 0
85 1 Exposed 0
85 1 Recovered 9399
85 1 Removed 601
85 0 Susceptible 0
85 0 Exposed 0
85 0 Recovered 4702
85 0 Removed 298
86 1 Susceptible 0
86 1 Exposed 0
86 1 Recovered 9399
86 1 Removed 601
86 0 Susceptible 0
86 0 Exposed 0
86 0 Recovered 4702
86 0 Removed 298
87 1 Susceptible 0
87 1 Exposed 0
87 1 Recovered 9399
87 1 Removed 601
87 0 Susceptible 0
87 0 Exposed 0
87 0 Recovered 4702
87 0 Removed 298
88 1 Susceptible 0
88 1 Exposed 0
88 1 Recovered 9399
88 1 Removed 601
88 0 Susceptible 0
88 0 Exposed 0
88 0 Recovered 4702
