thread date nviruses state counts
0 91 1 "Susceptible" 0
0 91 1 "Infected" 0
0 91 1 "Recovered" 10000
0 92 1 "Susceptible" 0
0 92 1 "Infected" 0
0 92 1 "Recovered" 10000
0 93 1 "Susceptible" 0
0 93 1 "Infected" 0
0 93 1 "Recovered" 10000
0 94 1 "Susceptible" 0
0 94 1 "Infected" 0
0 94 1 "Recovered" 10000
0 95 1 "Susceptible" 0
0 95 1 "Infected" 0
0 95 1 "Recovered" 10000
0 96 1 "Susceptible" 0
0 96 1 "Infected" 0
0 96 1 "Recovered" 10000
0 97 1 "Susceptible" 0
0 97 1 "Infected" 0
0 97 1 "Recovered" 10000
0 98 1 "Susceptible" 0
0 98 1 "Infected" 0
0 98 1 "Recovered" 10000
0 99 1 "Susceptible" 0
0 99 1 "Infected" 0
0 99 1 "Recovered" 10000
0 100 1 "Susceptible" 0
0 100 1 "Infected" 0
0 100 1 "Recovered" 10000
