virus source source_exposure_date gentime
0 47 20 -1
0 48 20 -1
0 49 20 -1
0 50 20 -1
0 51 20 -1
0 52 20 1
0 78 20 1
0 79 20 1
0 80 20 1
0 81 20 1
0 82 20 1
0 83 20 1
0 84 20 1
0 85 20 1
0 86 20 1
0 87 20 1
0 469 20 -1
0 470 20 -1
0 471 20 -1
0 472 20 -1
0 473 20 -1
0 474 20 -1
0 475 20 -1
0 476 20 -1
0 477 20 -1
0 478 20 1
0 568 20 1
0 569 20 1
0 570 20 1
0 571 20 1
0 572 20 1
0 573 20 1
0 574 20 1
0 575 20 1
0 576 20 1
0 577 20 1
0 1924 20 -1
0 1925 20 -1
0 1926 20 -1
0 1927 20 -1
0 1928 20 -1
0 1929 20 -1
0 1930 20 -1
0 1931 20 -1
0 1932 20 -1
0 1933 20 1
0 2117 20 1
0 2118 20 1
0 2119 20 1
0 2120 20 1
0 2121 20 1
0 2122 20 1
0 2123 20 1
0 2124 20 1
0 2125 20 1
0 2126 20 1
0 2635 20 -1
0 2636 20 -1
0 2637 20 -1
0 2638 20 -1
0 2639 20 -1
0 2640 20 -1
0 2641 20 -1
0 2642 20 -1
0 2643 20 -1
0 2644 20 1
0 2771 20 1
0 2772 20 1
0 2773 20 1
0 2774 20 1
0 2775 20 1
0 2776 20 1
0 2777 20 1
0 2778 20 1
0 2779 20 1
0 2780 20 1
0 5289 20 -1
0 5290 20 -1
0 5291 20 -1
0 5292 20 -1
0 5293 20 -1
0 5294 20 -1
0 5295 20 -1
0 5296 20 -1
0 5297 20 -1
0 5298 20 1
0 5461 20 1
0 5462 20 1
0 5463 20 1
0 5464 20 1
0 5465 20 1
0 5466 20 1
0 5467 20 1
0 5468 20 1
0 5469 20 1
0 5470 20 1
0 7987 20 -1
0 7988 20 -1
0 7989 20 -1
0 7990 20 -1
0 7991 20 -1
0 7992 20 -1
0 7993 20 -1
0 7994 20 -1
0 7995 20 -1
0 7996 20 1
0 8667 20 1
0 8668 20 1
0 8669 20 1
0 8670 20 1
0 8671 20 1
0 8672 20 1
0 8673 20 1
0 8674 20 1
0 8675 20 1
0 8676 20 1
0 9317 20 -1
0 9318 20 -1
0 9319 20 -1
0 9320 20 -1
0 9321 20 -1
0 9322 20 -1
0 9323 20 -1
0 9324 20 -1
0 9325 20 -1
0 9326 20 1
0 9652 20 1
0 9653 20 1
0 9654 20 1
0 9655 20 1
0 9656 20 1
0 9657 20 1
0 9658 20 1
0 9659 20 1
0 9660 20 1
0 9661 20 1
0 53 21 -1
0 54 21 -1
0 55 21 -1
0 56 21 -1
0 57 21 -1
0 58 21 -1
0 59 21 -1
0 60 21 -1
0 61 21 -1
0 62 21 -1
0 68 21 -1
0 69 21 -1
0 70 21 -1
0 71 21 -1
0 72 21 -1
0 73 21 1
0 74 21 1
0 75 21 1
0 76 21 1
0 77 21 1
0 479 21 -1
0 480 21 -1
0 481 21 -1
0 482 21 -1
0 483 21 -1
0 484 21 -1
0 485 21 -1
0 486 21 -1
0 487 21 -1
0 488 21 1
0 558 21 1
0 559 21 1
0 560 21 1
0 561 21 1
0 562 21 1
0 563 21 1
0 564 21 1
0 565 21 1
0 566 21 1
0 567 21 1
0 1934 21 -1
0 1935 21 -1
0 1936 21 -1
0 1937 21 -1
0 1938 21 -1
0 1939 21 -1
0 1940 21 -1
0 1941 21 -1
0 1942 21 -1
0 1943 21 1
0 2107 21 1
0 2108 21 1
0 2109 21 1
0 2110 21 1
0 2111 21 1
0 2112 21 1
0 2113 21 1
0 2114 21 1
0 2115 21 1
0 2116 21 1
0 2645 21 -1
0 2646 21 -1
0 2647 21 -1
0 2648 21 -1
0 2649 21 -1
0 2650 21 -1
0 2651 21 -1
0 2652 21 -1
0 2653 21 -1
0 2654 21 1
0 2761 21 1
0 2762 21 1
0 2763 21 1
0 2764 21 1
0 2765 21 1
0 2766 21 1
0 2767 21 1
0 2768 21 1
0 2769 21 1
0 2770 21 1
0 5299 21 -1
0 5300 21 -1
0 5301 21 -1
0 5302 21 -1
0 5303 21 -1
0 5304 21 -1
0 5305 21 -1
0 5306 21 -1
0 5307 21 -1
0 5308 21 1
0 5451 21 1
0 5452 21 1
0 5453 21 1
0 5454 21 1
0 5455 21 1
0 5456 21 1
0 5457 21 1
0 5458 21 1
0 5459 21 1
0 5460 21 1
0 7997 21 -1
0 7998 21 -1
0 7999 21 -1
